"county","fips","urban_rural","age_adjusted_incidence_rate_rate_note_cases_per_100_000","lower_95_confidence_interval","upper_95_confidence_interval","ci_rank_rank_note","lower_ci_ci_rank","upper_ci_ci_rank","average_annual_count","percent_of_cases_with_late_stage","UNIT_ID","YEAR_","total_burned_acres","age_adjusted_rate","incidence_numeric","pm25_avg","pm25_avg_z","log_burned_acres"
"California","06000","N/A","24.5","24.3","24.7","N/A","N/A","N/A","11010","67.1",NA,NA,NA,24.5,24.5,NA,NA,NA
"US","00000","N/A","34.3","34.2","34.4","N/A","N/A","N/A","140561","64.9",NA,NA,NA,34.3,34.3,NA,NA,NA
"Yuba County","06115","Urban","46.8","40.2","54.1","1","1","7","38","68.8",NA,NA,NA,46.8,46.8,NA,NA,NA
"Lake County","06033","Rural","42.6","37.3","48.6","2","1","10","49","73.3",NA,NA,NA,42.6,42.6,NA,NA,NA
"Shasta County","06089","Urban","40.9","37.6","44.5","3","1","8","116","73.1","SHF",1920,2124.82983398438,40.9,40.9,NA,NA,7.66191751523958
"Shasta County","06089","Urban","40.9","37.6","44.5","3","1","8","116","73.1","SHF",1922,22418.634765625,40.9,40.9,NA,NA,10.0176924059326
"Shasta County","06089","Urban","40.9","37.6","44.5","3","1","8","116","73.1","SHF",1923,4628.48239898682,40.9,40.9,NA,NA,8.44020034795557
"Shasta County","06089","Urban","40.9","37.6","44.5","3","1","8","116","73.1","SHF",1924,59766.9907684326,40.9,40.9,NA,NA,10.9982255251989
"Shasta County","06089","Urban","40.9","37.6","44.5","3","1","8","116","73.1","SHF",1926,24.3430709838867,40.9,40.9,NA,NA,3.23250535870569
"Shasta County","06089","Urban","40.9","37.6","44.5","3","1","8","116","73.1","SHF",1930,4945.0818977356,40.9,40.9,NA,NA,8.50635100632187
"Shasta County","06089","Urban","40.9","37.6","44.5","3","1","8","116","73.1","SHF",1931,14836.0797348022,40.9,40.9,NA,NA,9.60488471398786
"Shasta County","06089","Urban","40.9","37.6","44.5","3","1","8","116","73.1","SHF",1932,10364.3974761963,40.9,40.9,NA,NA,9.24622837205515
"Shasta County","06089","Urban","40.9","37.6","44.5","3","1","8","116","73.1","SHF",1933,1602.04661560059,40.9,40.9,NA,NA,7.37966123241168
"Shasta County","06089","Urban","40.9","37.6","44.5","3","1","8","116","73.1","SHF",1934,8939.29818344116,40.9,40.9,NA,NA,9.09832422146381
"Shasta County","06089","Urban","40.9","37.6","44.5","3","1","8","116","73.1","SHF",1935,6718.50109863281,40.9,40.9,NA,NA,8.8127691894863
"Shasta County","06089","Urban","40.9","37.6","44.5","3","1","8","116","73.1","SHF",1936,1782.76821899414,40.9,40.9,NA,NA,7.48648338261086
"Shasta County","06089","Urban","40.9","37.6","44.5","3","1","8","116","73.1","SHF",1938,4136.13893127441,40.9,40.9,NA,NA,8.3277597485116
"Shasta County","06089","Urban","40.9","37.6","44.5","3","1","8","116","73.1","SHF",1939,42365.8755874634,40.9,40.9,NA,NA,10.6541220997513
"Shasta County","06089","Urban","40.9","37.6","44.5","3","1","8","116","73.1","SHF",1940,1512.8458404541,40.9,40.9,NA,NA,7.32240860612758
"Shasta County","06089","Urban","40.9","37.6","44.5","3","1","8","116","73.1","SHF",1942,859.413673400879,40.9,40.9,NA,NA,6.75741328917906
"Shasta County","06089","Urban","40.9","37.6","44.5","3","1","8","116","73.1","SHF",1943,929.008338928223,40.9,40.9,NA,NA,6.83519355269659
"Shasta County","06089","Urban","40.9","37.6","44.5","3","1","8","116","73.1","SHF",1944,14573.4216918945,40.9,40.9,NA,NA,9.58702333234536
