County,Year,Deaths,Crude Rate,Age Adjusted Rate,Days_PM25_fraction,Unhealthy_fraction,VeryUnhealthy_fraction,Hazardous_fraction,Max_AQI,Median_AQI
"Baldwin County, AL",2000.0,98.0,69.8,58.8,0.1984435797665369,0.0389105058365758,0.0038910505836575,0.0,205,55
"Baldwin County, AL",2001.0,113.0,78.0,63.9,0.2826855123674912,0.0070671378091872,0.0,0.0,159,46
"Baldwin County, AL",2002.0,112.0,75.7,61.0,0.3273381294964029,0.0,0.0,0.0,105,43
"Baldwin County, AL",2003.0,115.0,75.9,60.8,0.3597122302158273,0.0035971223021582,0.0,0.0,174,45
"Baldwin County, AL",2004.0,126.0,80.6,63.0,0.3173431734317343,0.0,0.0,0.0,143,46
"Baldwin County, AL",2005.0,108.0,66.6,52.3,0.3464566929133858,0.0,0.0,0.0,147,49
"Baldwin County, AL",2006.0,114.0,67.8,54.9,0.2571428571428571,0.0035714285714285,0.0,0.0,156,50
"Baldwin County, AL",2007.0,131.0,76.0,60.7,0.3159851301115242,0.0037174721189591,0.0,0.0,154,46
"Barbour County, AL",2003.0,20.0,69.9,66.5,1.0,0.0,0.0,0.0,85,51
"Barbour County, AL",2004.0,17.0,,,1.0,0.0,0.0,0.0,106,54
"Barbour County, AL",2005.0,21.0,74.9,69.2,1.0,0.0,0.0,0.0,119,55
"Barbour County, AL",2006.0,14.0,,,1.0,0.0,0.0,0.0,80,47
"Clay County, AL",2000.0,14.0,,,0.3210332103321033,0.003690036900369,0.0,0.0,177,49
"Clay County, AL",2002.0,12.0,,,0.3465703971119133,0.0108303249097472,0.0,0.0,166,49
"Clay County, AL",2003.0,12.0,,,0.3394160583941605,0.0036496350364963,0.0,0.0,159,47
"Clay County, AL",2004.0,12.0,,,0.3462897526501767,0.0,0.0,0.0,129,47
"Clay County, AL",2005.0,16.0,,,0.3475177304964539,0.0,0.0,0.0,136,49
"Clay County, AL",2006.0,11.0,,,0.3391608391608391,0.0,0.0,0.0,140,49
"Clay County, AL",2007.0,16.0,,,0.3286219081272085,0.0070671378091872,0.0,0.0,166,54
"Colbert County, AL",1999.0,44.0,80.4,66.9,1.0,0.0,0.0,0.0,123,64
"Colbert County, AL",2000.0,42.0,76.4,63.8,1.0,0.0,0.0,0.0,124,63
"Colbert County, AL",2001.0,50.0,91.3,75.0,1.0,0.0,0.0,0.0,90,55
"Colbert County, AL",2002.0,39.0,71.5,58.1,0.2789115646258503,0.010204081632653,0.0,0.0,166,44
"Colbert County, AL",2003.0,41.0,75.5,60.5,0.2933753943217665,0.0031545741324921,0.0,0.0,151,46
"Colbert County, AL",2004.0,44.0,80.9,63.9,0.3478260869565217,0.0,0.0,0.0,93,45
"Colbert County, AL",2005.0,40.0,73.6,56.6,0.3525179856115107,0.0,0.0,0.0,126,49
"Colbert County, AL",2006.0,34.0,62.5,46.6,0.3581560283687943,0.0,0.0,0.0,129,48
"Colbert County, AL",2007.0,48.0,88.1,68.2,0.3286219081272085,0.0,0.0,0.0,122,49
"DeKalb County, AL",1999.0,33.0,51.9,48.0,0.1957831325301204,0.0572289156626506,0.0,0.0,195,61
"DeKalb County, AL",2000.0,29.0,45.0,41.1,0.1751412429378531,0.0112994350282485,0.0,0.0,159,54
"DeKalb County, AL",2001.0,34.0,51.8,47.5,0.2,0.0082191780821917,0.0,0.0,164,47
"DeKalb County, AL",2002.0,35.0,53.1,48.2,0.2305555555555555,0.0083333333333333,0.0,0.0,164,45
"DeKalb County, AL",2003.0,47.0,70.6,64.2,0.260387811634349,0.0055401662049861,0.0,0.0,164,47
"DeKalb County, AL",2004.0,45.0,66.9,61.9,0.2493074792243767,0.0,0.0,0.0,115,44
"DeKalb County, AL",2005.0,39.0,57.5,50.7,0.2709497206703911,0.0,0.0,0.0,140,44
"DeKalb County, AL",2006.0,47.0,68.6,61.1,0.2231404958677686,0.0,0.0,0.0,140,49
"DeKalb County, AL",2007.0,48.0,69.1,63.7,0.1823204419889502,0.0027624309392265,0.0,0.0,169,49
"Elmore County, AL",1999.0,50.0,77.3,84.9,0.0,0.0041493775933609,0.0,0.0,151,45
"Elmore County, AL",2000.0,34.0,51.6,58.6,0.0,0.0082644628099173,0.0,0.0,166,50
"Elmore County, AL",2001.0,25.0,37.1,42.8,0.0,0.0041493775933609,0.0,0.0,154,43
"Elmore County, AL",2002.0,45.0,65.5,69.7,0.0,0.0082987551867219,0.0,0.0,164,42
"Elmore County, AL",2003.0,41.0,58.6,64.1,0.0,0.0,0.0,0.0,143,42
"Elmore County, AL",2004.0,47.0,66.2,70.2,0.0,0.0,0.0,0.0,129,42
"Elmore County, AL",2005.0,41.0,56.2,61.3,0.0,0.0,0.0,0.0,101,42
"Elmore County, AL",2006.0,45.0,59.8,63.2,0.0,0.0,0.0,0.0,112,46
"Elmore County, AL",2007.0,51.0,66.1,70.9,0.0,0.0040983606557377,0.0,0.0,151,45
"Escambia County, AL",1999.0,27.0,70.4,65.8,0.0,0.0,0.0,0.0,52,20
"Escambia County, AL",2000.0,32.0,83.2,75.4,0.957983193277311,0.0,0.0,0.0,123,62
"Escambia County, AL",2001.0,33.0,86.4,79.7,0.9565217391304348,0.0,0.0,0.0,85,55
"Escambia County, AL",2002.0,23.0,60.5,54.5,0.9747899159663864,0.0,0.0,0.0,90,55
"Escambia County, AL",2003.0,26.0,68.8,60.4,0.9917355371900828,0.0,0.0,0.0,92,55
"Escambia County, AL",2004.0,29.0,76.9,69.6,0.990990990990991,0.0,0.0,0.0,101,54
"Escambia County, AL",2005.0,31.0,82.4,72.7,0.972972972972973,0.0,0.0,0.0,98,57
"Escambia County, AL",2006.0,25.0,66.4,55.6,1.0,0.0,0.0,0.0,94,57
"Escambia County, AL",2007.0,35.0,92.5,79.5,1.0,0.0,0.0,0.0,137,56
"Etowah County, AL",1999.0,75.0,72.1,58.3,0.0,0.0,0.0,0.0,56,27
"Etowah County, AL",2000.0,98.0,94.7,79.1,0.8217821782178217,0.0,0.0,0.0,141,63
"Etowah County, AL",2001.0,83.0,80.6,66.5,0.8545454545454545,0.0,0.0,0.0,99,58
